,OBJECTID,Reference,Sampling_Date,Latitude,Longitude,Gear,Scientificname,Commonname,TotalNum,avg_size,min_size,max_size,ExDate
1,1549799,TBM1996011812,1996-01-17 19:00:00,27.956833,-82.705667,20,Anchoa mitchilli,Bay Anchovy,320,23,20,28,2018-04-12 06:25:14
2,1549800,TBM1996011812,1996-01-17 19:00:00,27.956833,-82.705667,20,Gobiosoma bosc,Naked Goby,4,25,22,33,2018-04-12 06:25:14
3,1549802,TBM1996011819,1996-01-17 19:00:00,27.989333,-82.619667,20,Mugil cephalus,Striped Mullet,1,20,20,20,2018-04-12 06:25:14
4,1549804,TBM1996011904,1996-01-18 19:00:00,27.9925,-82.684167,20,Callinectes sapidus,Blue Crab,2,17,15,20,2018-04-12 06:25:14
5,1549806,TBM1996011908,1996-01-18 19:00:00,28.012833,-82.6735,300,Callinectes sapidus,Blue Crab,1,103,103,103,2018-04-12 06:25:23
6,1549860,TBM1996011802,1996-01-17 19:00:00,27.8765,-82.535833,20,Cynoscion nebulosus,Spotted Seatrout,1,63,63,63,2018-04-12 06:27:38
7,1549863,TBM1996011809,1996-01-17 19:00:00,27.963167,-82.590833,300,Prionotus scitulus,Leopard Searobin,1,39,39,39,2018-04-12 06:27:38
8,1549864,TBM1996011809,1996-01-17 19:00:00,27.963167,-82.590833,300,Synodus foetens,Inshore Lizardfish,1,97,97,97,2018-04-12 06:27:38
9,1549865,TBM1996011812,1996-01-17 19:00:00,27.956833,-82.705667,20,Microgobius gulosus,Clown Goby,3,31,27,37,2018-04-12 06:27:38
10,1549867,TBM1996011814,1996-01-17 19:00:00,27.978167,-82.660333,300,Ariopsis felis,Hardhead Catfish,1,185,185,185,2018-04-12 06:27:38
11,1549868,TBM1996011814,1996-01-17 19:00:00,27.978167,-82.660333,300,Callinectes sapidus,Blue Crab,2,153,152,154,2018-04-12 06:27:38
12,1549877,TBM1996011904,1996-01-18 19:00:00,27.9925,-82.684167,20,Floridichthys carpio,Goldspotted Killifish,1,29,29,29,2018-04-12 06:27:38
13,1549878,TBM1996011905,1996-01-18 19:00:00,27.991667,-82.684167,20,Anchoa mitchilli,Bay Anchovy,437,33,24,47,2018-04-12 06:27:38
14,1549879,TBM1996011905,1996-01-18 19:00:00,27.991667,-82.684167,20,Syngnathus scovelli,Gulf Pipefish,4,89,72,102,2018-04-12 06:27:38
15,1549880,TBM1996011907,1996-01-18 19:00:00,28.004667,-82.6645,20,Menidia spp.,Menidia Silversides,1,68,68,68,2018-04-12 06:27:38
16,1549956,TBM1996022005,1996-02-19 19:00:00,28.015833,-82.6525,20,Leiostomus xanthurus,Spot,1,17,17,17,2018-04-12 06:27:38
17,1549958,TBM1996022008,1996-02-19 19:00:00,27.974167,-82.6375,300,Prionotus scitulus,Leopard Searobin,2,50,50,51,2018-04-12 06:27:38
18,1549960,TBM1996022014,1996-02-19 19:00:00,27.945333,-82.641333,300,Callinectes sapidus,Blue Crab,1,98,98,98,2018-04-12 06:27:38
19,1549963,TBM1996022016,1996-02-19 19:00:00,27.943833,-82.593,300,Callinectes sapidus,Blue Crab,1,64,64,64,2018-04-12 06:27:38
20,1549965,TBM1996022101,1996-02-20 19:00:00,27.884167,-82.620833,20,Cynoscion nebulosus,Spotted Seatrout,1,101,101,101,2018-04-12 06:27:38
21,1549966,TBM1996022103,1996-02-20 19:00:00,27.889167,-82.545,20,Achirus lineatus,Lined Sole,1,24,24,24,2018-04-12 06:27:38
22,1549967,TBM1996022105,1996-02-20 19:00:00,27.848667,-82.557667,20,Syngnathus louisianae,Chain Pipefish,1,90,90,90,2018-04-12 06:27:38
23,1550020,TBM1996032006,1996-03-19 19:00:00,27.9105,-82.620167,300,Cynoscion arenarius,Sand Seatrout,1,102,102,102,2018-04-12 06:27:38
24,1550022,TBM1996032016,1996-03-19 19:00:00,27.8275,-82.593833,22,Menidia spp.,Menidia Silversides,808,31,15,71,2018-04-12 06:27:38
25,1550024,TBM1996032201,1996-03-21 19:00:00,28.014167,-82.646167,22,No fish,.,0,NA,NA,NA,2018-04-12 06:27:38
26,1550025,TBM1996032203,1996-03-21 19:00:00,27.962,-82.569,22,No fish,.,0,NA,NA,NA,2018-04-12 06:27:38
27,1550026,TBM1996032204,1996-03-21 19:00:00,27.958167,-82.571,20,Cyprinodon variegatus,Sheepshead Minnow,2,44,38,51,2018-04-12 06:27:38
28,1550027,TBM1996032209,1996-03-21 19:00:00,27.970167,-82.640833,300,Ariopsis felis,Hardhead Catfish,2,247,185,310,2018-04-12 06:27:38
29,1550131,TBM1996011713,1996-01-16 19:00:00,27.864833,-82.599,22,Floridichthys carpio,Goldspotted Killifish,10,47,41,52,2018-04-12 06:25:20
30,1550132,TBM1996011713,1996-01-16 19:00:00,27.864833,-82.599,22,Menidia spp.,Menidia Silversides,1,58,58,58,2018-04-12 06:25:20
31,1550134,TBM1996011804,1996-01-17 19:00:00,27.866,-82.542833,20,Cynoscion nebulosus,Spotted Seatrout,1,55,55,55,2018-04-12 06:25:20
